Configuration Results:
Default AMAT: 1.116866822729605, Default Area: 40000.0
Sets: 16, Ways: 8, Block Size: 512, Hit Rate: 99.35%, AMAT: 1.06, Area: 80000.00, AMAT Diff: -5.19%, Area Diff: 100.00%, Total Diff: 94.81%
Sets: 32, Ways: 2, Block Size: 512, Hit Rate: 99.63%, AMAT: 1.03, Area: 40000.00, AMAT Diff: -7.52%, Area Diff: 0.00%, Total Diff: -7.52%
Sets: 32, Ways: 4, Block Size: 512, Hit Rate: 99.63%, AMAT: 1.03, Area: 80000.00, AMAT Diff: -7.52%, Area Diff: 100.00%, Total Diff: 92.48%
Sets: 32, Ways: 8, Block Size: 512, Hit Rate: 99.63%, AMAT: 1.03, Area: 160000.00, AMAT Diff: -7.52%, Area Diff: 300.00%, Total Diff: 292.48%
Sets: 64, Ways: 2, Block Size: 512, Hit Rate: 99.83%, AMAT: 1.02, Area: 80000.00, AMAT Diff: -9.06%, Area Diff: 100.00%, Total Diff: 90.94%
Sets: 64, Ways: 4, Block Size: 512, Hit Rate: 99.83%, AMAT: 1.02, Area: 160000.00, AMAT Diff: -9.06%, Area Diff: 300.00%, Total Diff: 290.94%
Sets: 64, Ways: 8, Block Size: 512, Hit Rate: 99.83%, AMAT: 1.02, Area: 320000.00, AMAT Diff: -9.06%, Area Diff: 700.00%, Total Diff: 690.94%
Sets: 128, Ways: 2, Block Size: 512, Hit Rate: 99.91%, AMAT: 1.01, Area: 160000.00, AMAT Diff: -9.70%, Area Diff: 300.00%, Total Diff: 290.30%
Sets: 128, Ways: 4, Block Size: 512, Hit Rate: 99.91%, AMAT: 1.01, Area: 320000.00, AMAT Diff: -9.70%, Area Diff: 700.00%, Total Diff: 690.30%
Sets: 128, Ways: 8, Block Size: 512, Hit Rate: 99.91%, AMAT: 1.01, Area: 640000.00, AMAT Diff: -9.70%, Area Diff: 1500.00%, Total Diff: 1490.30%
Sets: 256, Ways: 2, Block Size: 512, Hit Rate: 99.92%, AMAT: 1.01, Area: 320000.00, AMAT Diff: -9.84%, Area Diff: 700.00%, Total Diff: 690.16%
Sets: 256, Ways: 4, Block Size: 512, Hit Rate: 99.92%, AMAT: 1.01, Area: 640000.00, AMAT Diff: -9.84%, Area Diff: 1500.00%, Total Diff: 1490.16%
Sets: 256, Ways: 8, Block Size: 512, Hit Rate: 99.92%, AMAT: 1.01, Area: 1280000.00, AMAT Diff: -9.84%, Area Diff: 3100.00%, Total Diff: 3090.16%
